Date,Calories Burned,Steps
2019-01-01,2873,7065
2019-01-02,2163,3715
2019-01-03,2670,8142
2019-01-04,2500,7549
2019-01-05,2885,14040
2019-01-06,2044,2765
2019-01-07,2594,7827
2019-01-08,2270,7715
2019-01-09,3016,12465
2019-01-10,2812,10632
2019-01-11,2966,11243
2019-01-12,2700,7714
2019-01-13,2827,10108
2019-01-14,2104,3952
2019-01-15,2377,8035
2019-01-16,2320,4194
2019-01-17,2355,5668
2019-01-18,3157,15516
2019-01-19,2540,2532
2019-01-20,2419,6342
2019-01-21,2413,8494
2019-01-22,2661,6436
2019-01-23,2685,11564
2019-01-24,2420,5212
2019-01-25,2598,9732
2019-01-26,2468,6856
2019-01-27,2071,3187
2019-01-28,2378,4899
2019-01-29,2436,8510
2019-01-30,2011,2444
2019-01-31,2887,11569
2019-02-01,2489,9430
2019-02-02,2042,2437
2019-02-03,2290,5939
2019-02-04,2342,7581
2019-02-05,2728,8823
2019-02-06,1922,1880
2019-02-07,2230,2816
2019-02-08,2450,8523
2019-02-09,2781,9412
2019-02-10,2212,4219
2019-02-11,2622,5395
2019-02-12,3021,11369
2019-02-13,2153,4030
2019-02-14,2849,14274
2019-02-15,2333,8587
2019-02-16,2303,6481
2019-02-17,2429,8655
2019-02-18,2421,8111
2019-02-19,2473,7435
2019-02-20,2683,7063
2019-02-21,2540,8852
2019-02-22,2542,12118
2019-02-23,2197,5390
2019-02-24,1902,1948
2019-02-25,1937,2037
2019-02-26,2365,7956
2019-02-27,2191,3727
2019-02-28,2411,8474