Date,Weight
2019-01-01,67.7
2019-01-02,67.7
2019-01-03,67.7
2019-01-04,67.7
2019-01-05,67.7
2019-01-06,67.7
2019-01-07,67.7
2019-01-08,68.85
2019-01-09,70
2019-01-10,70
2019-01-11,69.8
2019-01-12,70.2
2019-01-13,70.08
2019-01-14,69.96
2019-01-15,69.84
2019-01-16,69.72
2019-01-17,69.6
2019-01-18,69
2019-01-19,69.7
2019-01-20,70.4
2019-01-21,71.1
2019-01-22,69.6
2019-01-23,69.4
2019-01-24,68.7
2019-01-25,68.4
2019-01-26,68.36
2019-01-27,68.9
2019-01-28,68.7
2019-01-29,68.4
2019-01-30,68.36
2019-01-31,67.7
2019-02-01,67.68
2019-02-02,67.9
2019-02-03,68.2
2019-02-04,68.8
2019-02-05,67.6
2019-02-06,67.5
2019-02-07,67.3
2019-02-08,67.1
2019-02-09,66.9
2019-02-10,68.7
2019-02-11,67.8
2019-02-12,68.4
2019-02-13,67.7
2019-02-14,66.9
2019-02-15,67.9
2019-02-16,67.1
2019-02-17,67.3
2019-02-18,66.9
2019-02-19,66.4
2019-02-20,66.2
2019-02-21,66.6
2019-02-22,65.9
2019-02-23,65.8
2019-02-24,66
2019-02-25,66.2
2019-02-26,65.75
2019-02-27,65.3
2019-02-28,65.7